wavelength_nm,reference_radiance_photons_cm2_s_sr_nm
763.6500,2.93330000e+12
763.6600,2.81860000e+12
763.6700,2.51240000e+12
763.6800,2.09400000e+12
763.6900,1.59840000e+12
763.7000,1.09210000e+12
763.7100,6.49530000e+11
763.7200,3.66610000e+11
763.7300,2.90400000e+11
763.7400,4.09850000e+11
763.7500,6.96530000e+11
763.7600,1.05160000e+12
763.7700,1.36390000e+12
763.7800,1.54590000e+12
763.7900,1.53200000e+12
763.8000,1.32960000e+12
763.8100,1.00990000e+12
763.8200,6.61380000e+11
763.8300,3.85890000e+11
763.8400,2.68580000e+11
763.8500,3.27810000e+11
763.8600,5.74930000e+11
763.8700,9.78870000e+11
763.8800,1.45930000e+12
763.8900,1.95200000e+12
763.9000,2.36520000e+12
763.9100,2.55830000e+12
763.9200,2.66250000e+12
763.9300,2.80700000e+12
763.9400,2.97520000e+12
763.9500,3.23620000e+12
763.9600,3.47390000e+12
763.9700,3.58380000e+12
763.9800,3.63590000e+12
763.9900,3.67040000e+12
764.0000,3.68960000e+12
764.0100,3.67470000e+12
764.0200,3.50140000e+12
764.0300,3.29950000e+12
764.0400,3.24050000e+12
764.0500,3.22710000e+12
764.0600,3.33980000e+12
764.0700,3.45120000e+12
764.0800,3.37040000e+12
764.0900,3.21390000e+12
764.1000,2.99010000e+12
764.1100,2.67480000e+12
764.1200,2.23570000e+12
764.1300,1.69380000e+12
764.1400,1.14840000e+12
764.1500,6.70330000e+11
764.1600,3.76650000e+11
764.1700,3.25260000e+11
764.1800,4.76280000e+11
764.1900,8.02730000e+11
764.2000,1.18910000e+12
764.2100,1.51120000e+12
764.2200,1.67670000e+12
764.2300,1.62130000e+12
764.2400,1.36070000e+12
764.2500,1.00620000e+12
764.2600,6.39240000e+11
764.2700,3.71820000e+11
764.2800,2.98520000e+11
764.2900,4.12490000e+11
764.3000,7.33320000e+11
764.3100,1.20830000e+12
764.3200,1.73790000e+12
764.3300,2.24390000e+12
764.3400,2.59890000e+12
764.3500,2.75320000e+12
764.3600,2.89530000e+12
764.3700,3.05740000e+12
764.3800,3.26020000e+12
764.3900,3.53020000e+12
764.4000,3.70050000e+12
764.4100,3.77860000e+12
764.4200,3.82470000e+12
764.4300,3.85630000e+12
764.4400,3.87210000e+12
764.4500,3.81260000e+12
764.4600,3.62380000e+12
764.4700,3.51040000e+12
764.4800,3.47200000e+12
764.4900,3.52740000e+12
764.5000,3.69880000e+12
764.5100,3.77380000e+12
764.5200,3.76170000e+12
764.5300,3.69660000e+12
764.5400,3.60020000e+12
764.5500,3.46380000e+12
764.5600,3.26000000e+12
764.5700,2.91260000e+12
764.5800,2.45310000e+12
764.5900,1.92030000e+12
764.6000,1.34530000e+12
764.6100,8.52480000e+11
764.6200,5.15240000e+11
764.6300,3.91230000e+11
764.6400,5.35450000e+11
764.6500,9.10130000e+11
764.6600,1.37610000e+12
764.6700,1.77410000e+12
764.6800,1.95060000e+12
764.6900,1.88410000e+12
764.7000,1.62290000e+12
764.7100,1.21930000e+12
764.7200,8.15650000e+11
764.7300,5.04910000e+11
764.7400,3.70270000e+11
764.7500,4.95370000e+11
764.7600,8.77940000e+11
764.7700,1.42550000e+12
764.7800,2.00880000e+12
764.7900,2.52540000e+12
764.8000,2.83640000e+12
764.8100,3.00660000e+12
764.8200,3.16650000e+12
764.8300,3.32590000e+12
764.8400,3.53790000e+12
764.8500,3.75000000e+12
764.8600,3.86540000e+12
764.8700,3.92360000e+12
764.8800,3.96280000e+12
