1.0E-46      ! scale_factor sigma in cm**5/molecule**2
0           ! header lines
378         ! data lines, nlam
# O2-O2 CIA subset extracted from vendor/disamar-fortran/RefSpec/O2O2T_BIRA.dat
# Wavelength    a0            a1          a2
  770.1569185   7.09E-01    0.00E+00    0.00E+00
  770.1855149   7.02E-01    0.00E+00    0.00E+00
  770.2141134   6.95E-01    0.00E+00    0.00E+00
  770.2427141   6.89E-01    0.00E+00    0.00E+00
  770.2713169   6.82E-01    0.00E+00    0.00E+00
  770.2999218   6.75E-01    0.00E+00    0.00E+00
  770.3285348   6.69E-01    0.00E+00    0.00E+00
  770.3571440   6.62E-01    0.00E+00    0.00E+00
  770.3857553   6.56E-01    0.00E+00    0.00E+00
  770.4143687   6.50E-01    0.00E+00    0.00E+00
  770.4429842   6.43E-01    0.00E+00    0.00E+00
  770.4716019   6.37E-01    0.00E+00    0.00E+00
  770.5002217   6.31E-01    0.00E+00    0.00E+00
  770.5288495   6.25E-01    0.00E+00    0.00E+00
  770.5574736   6.19E-01    0.00E+00    0.00E+00
  770.5860998   6.13E-01    0.00E+00    0.00E+00
  770.6147281   6.07E-01    0.00E+00    0.00E+00
  770.6433585   6.01E-01    0.00E+00    0.00E+00
  770.6719911   5.95E-01    0.00E+00    0.00E+00
  770.7006317   5.89E-01    0.00E+00    0.00E+00
  770.7292685   5.83E-01    0.00E+00    0.00E+00
  770.7579074   5.77E-01    0.00E+00    0.00E+00
  770.7865485   5.72E-01    0.00E+00    0.00E+00
  770.8151917   5.66E-01    0.00E+00    0.00E+00
  770.8438370   5.60E-01    0.00E+00    0.00E+00
  770.8724904   5.55E-01    0.00E+00    0.00E+00
  770.9011400   5.49E-01    0.00E+00    0.00E+00
  770.9297917   5.44E-01    0.00E+00    0.00E+00
  770.9584456   5.38E-01    0.00E+00    0.00E+00
  770.9871016   5.33E-01    0.00E+00    0.00E+00
  771.0157656   5.28E-01    0.00E+00    0.00E+00
  771.0444259   5.22E-01    0.00E+00    0.00E+00
  771.0730882   5.17E-01    0.00E+00    0.00E+00
  771.1017527   5.12E-01    0.00E+00    0.00E+00
  771.1304194   5.07E-01    0.00E+00    0.00E+00
  771.1590881   5.02E-01    0.00E+00    0.00E+00
  771.1877650   4.97E-01    0.00E+00    0.00E+00
  771.2164380   4.92E-01    0.00E+00    0.00E+00
  771.2451131   4.87E-01    0.00E+00    0.00E+00
  771.2737904   4.82E-01    0.00E+00    0.00E+00
  771.3024699   4.78E-01    0.00E+00    0.00E+00
  771.3311514   4.73E-01    0.00E+00    0.00E+00
  771.3598411   4.68E-01    0.00E+00    0.00E+00
  771.3885269   4.64E-01    0.00E+00    0.00E+00
  771.4172148   4.59E-01    0.00E+00    0.00E+00
  771.4459049   4.54E-01    0.00E+00    0.00E+00
  771.4745972   4.50E-01    0.00E+00    0.00E+00
