wavelength_nm,irradiance
760.21,4.80948000E+14
760.22,4.77988000E+14
760.23,4.74111000E+14
760.24,4.69702000E+14
760.25,4.65252000E+14
760.26,4.61367000E+14
760.27,4.58789000E+14
760.28,4.58136000E+14
760.29,4.59510000E+14
760.30,4.62512000E+14
760.31,4.66570000E+14
760.32,4.71043000E+14
760.33,4.75152000E+14
760.34,4.78170000E+14
760.35,4.79785000E+14
760.36,4.80189000E+14
760.37,4.79773000E+14
760.38,4.78720000E+14
760.39,4.76880000E+14
760.40,4.73974000E+14
760.41,4.69938000E+14
760.42,4.65085000E+14
760.43,4.60055000E+14
760.44,4.55770000E+14
760.45,4.53385000E+14
760.46,4.53869000E+14
760.47,4.57324000E+14
760.48,4.62754000E+14
760.49,4.68602000E+14
760.50,4.73572000E+14
760.51,4.77146000E+14
760.52,4.79569000E+14
760.53,4.81396000E+14
760.54,4.83025000E+14
760.55,4.84567000E+14
760.56,4.85950000E+14
760.57,4.87041000E+14
760.58,4.87759000E+14
760.59,4.88134000E+14
760.60,4.88283000E+14
760.61,4.88325000E+14
760.62,4.88330000E+14
760.63,4.88324000E+14
760.64,4.88312000E+14
760.65,4.88293000E+14
760.66,4.88266000E+14
760.67,4.88233000E+14
760.68,4.88185000E+14
760.69,4.88023000E+14
760.70,4.87331000E+14
760.71,4.85098000E+14
760.72,4.80156000E+14
760.73,4.73114000E+14
760.74,4.67776000E+14
760.75,4.68264000E+14
760.76,4.74192000E+14
760.77,4.81118000E+14
760.78,4.85536000E+14
760.79,4.87012000E+14
760.80,4.86339000E+14
760.81,4.83888000E+14
760.82,4.79760000E+14
760.83,4.74528000E+14
760.84,4.69557000E+14
760.85,4.66693000E+14
760.86,4.67369000E+14
760.87,4.71506000E+14
760.88,4.77320000E+14
760.89,4.82544000E+14
760.90,4.85911000E+14
760.91,4.87513000E+14
760.92,4.88072000E+14
760.93,4.88205000E+14
760.94,4.88216000E+14
760.95,4.88206000E+14
760.96,4.88200000E+14
760.97,4.88201000E+14
760.98,4.88205000E+14
760.99,4.88210000E+14
761.00,4.88212000E+14
761.01,4.88208000E+14
761.02,4.88195000E+14
761.03,4.88177000E+14
761.04,4.88159000E+14
761.05,4.88133000E+14
761.06,4.88051000E+14
761.07,4.87794000E+14
761.08,4.87173000E+14
761.09,4.86041000E+14
761.10,4.84489000E+14
761.11,4.82944000E+14
761.12,4.82012000E+14
761.13,4.82114000E+14
761.14,4.83188000E+14
761.15,4.84723000E+14
761.16,4.86039000E+14
761.17,4.86495000E+14
761.18,4.85525000E+14
761.19,4.82735000E+14
761.20,4.78115000E+14
761.21,4.71981000E+14
761.22,4.64896000E+14
761.23,4.58399000E+14
761.24,4.55396000E+14
761.25,4.58130000E+14
761.26,4.65390000E+14
761.27,4.73094000E+14
761.28,4.78061000E+14
761.29,4.80277000E+14
761.30,4.81527000E+14
761.31,4.83059000E+14
761.32,4.84871000E+14
761.33,4.86420000E+14
761.34,4.87384000E+14
761.35,4.87828000E+14
761.36,4.87981000E+14
761.37,4.88016000E+14
761.38,4.88012000E+14
761.39,4.87996000E+14
761.40,4.87979000E+14
761.41,4.87965000E+14
761.42,4.87936000E+14
761.43,4.87843000E+14
761.44,4.87593000E+14
761.45,4.87099000E+14
761.46,4.86395000E+14
761.47,4.85714000E+14
761.48,4.85384000E+14
761.49,4.85584000E+14
761.50,4.86196000E+14
761.51,4.86907000E+14
761.52,4.87455000E+14
761.53,4.87761000E+14
761.54,4.87888000E+14
761.55,4.87924000E+14
761.56,4.87920000E+14
761.57,4.87889000E+14
761.58,4.87806000E+14
761.59,4.87585000E+14
761.60,4.87098000E+14
761.61,4.86262000E+14
761.62,4.85139000E+14
761.63,4.83866000E+14
761.64,4.82583000E+14
761.65,4.81552000E+14
761.66,4.81173000E+14
761.67,4.81605000E+14
761.68,4.82550000E+14
761.69,4.83590000E+14
761.70,4.84534000E+14
761.71,4.85357000E+14
761.72,4.85989000E+14
761.73,4.86252000E+14
761.74,4.85952000E+14
761.75,4.84957000E+14
761.76,4.83160000E+14
761.77,4.80479000E+14
761.78,4.77334000E+14
761.79,4.75146000E+14
761.80,4.75561000E+14
761.81,4.78646000E+14
761.82,4.82591000E+14
761.83,4.85518000E+14
761.84,4.86806000E+14
761.85,4.86381000E+14
761.86,4.82982000E+14
761.87,4.72893000E+14
761.88,4.51286000E+14
761.89,4.18473000E+14
761.90,3.86474000E+14
761.91,3.73584000E+14
761.92,3.87256000E+14
761.93,4.16901000E+14
761.94,4.46228000E+14
761.95,4.66640000E+14
761.96,4.77856000E+14
761.97,4.82484000E+14
761.98,4.82679000E+14
761.99,4.79892000E+14
